Security,Term,Yield,Speed,WAL
Agency MBS,180,0.0525,0.03,2.0718040947669363
Agency MBS,240,0.0525,0.03,2.2468655615638617
Agency MBS,360,0.0525,0.03,2.450231639805546
Agency MBS,18,0.0525,0.0325,0.5592801782945408
Agency MBS,24,0.0525,0.0325,0.699237763290658
Agency MBS,36,0.0525,0.0325,0.9245201808071438
Agency MBS,48,0.0525,0.0325,1.103230065549923
Agency MBS,60,0.0525,0.0325,1.2469846527305817
Agency MBS,72,0.0525,0.0325,1.367661792881636
Agency MBS,84,0.0525,0.0325,1.470890396823368
Agency MBS,120,0.0525,0.0325,1.705449039825128
Agency MBS,180,0.0525,0.0325,1.9539472567950893
Agency MBS,240,0.0525,0.0325,2.1098073936265664
Agency MBS,360,0.0525,0.0325,2.288005782261923
Agency MBS,18,0.0525,0.035,0.5511192406588824
Agency MBS,24,0.0525,0.035,0.6858078310341414
Agency MBS,36,0.0525,0.035,0.9010100470548331
Agency MBS,48,0.0525,0.035,1.0682127857294998
Agency MBS,60,0.0525,0.035,1.2026916409583694
Agency MBS,72,0.0525,0.035,1.3150352127781002
Agency MBS,84,0.0525,0.035,1.4104022283387672
Agency MBS,120,0.0525,0.035,1.6247404576199418
Agency MBS,180,0.0525,0.035,1.8491740585679202
Agency MBS,240,0.0525,0.035,1.9890453113267534
Agency MBS,360,0.0525,0.035,2.1474889126160206
Agency MBS,18,0.055,0.005,0.6850111549981177
Agency MBS,24,0.055,0.005,0.9139977543198503
Agency MBS,36,0.055,0.005,1.3566618652741316
Agency MBS,48,0.055,0.005,1.77915090042084
Agency MBS,60,0.055,0.005,2.184216717317795
Agency MBS,72,0.055,0.005,2.573334389460601
Agency MBS,84,0.055,0.005,2.9481695043553984
Agency MBS,120,0.055,0.005,3.9967395038381923
Agency MBS,180,0.055,0.005,5.531802076835581
Agency MBS,240,0.055,0.005,6.842492738734081
Agency MBS,360,0.055,0.005,8.892439457287153
Agency MBS,18,0.055,0.0075,0.6705555048977607
Agency MBS,24,0.055,0.0075,0.8882862663402974
Agency MBS,36,0.055,0.0075,1.298598354045627
Agency MBS,48,0.055,0.0075,1.6800498374349393
Agency MBS,60,0.055,0.0075,2.0372835998231316
Agency MBS,72,0.055,0.0075,2.373080578499524
Agency MBS,84,0.055,0.0075,2.689853055620741
Agency MBS,120,0.055,0.0075,3.5444209589149622
Agency MBS,180,0.055,0.0075,4.7197049386208425
Agency MBS,240,0.055,0.0075,5.658226220138816
Agency MBS,360,0.055,0.0075,7.015478990013652
Agency MBS,18,0.055,0.01,0.6567789670949152
Agency MBS,24,0.055,0.01,0.8633584354825983
Agency MBS,36,0.055,0.01,1.2459263576764454
Agency MBS,48,0.055,0.01,1.5928256737736435
Agency MBS,60,0.055,0.01,1.910583702349103
Agency MBS,72,0.055,0.01,2.2033136378158256
Agency MBS,84,0.055,0.01,2.4753885531076913
Agency MBS,120,0.055,0.01,3.187020859577691
Agency MBS,180,0.055,0.01,4.117609443771607
Agency MBS,240,0.055,0.01,4.824007865421908
Agency MBS,360,0.055,0.01,5.790172694293722
Agency MBS,18,0.055,0.0125,0.6442955252490984
Agency MBS,24,0.055,0.0125,0.8410506195272128
Agency MBS,36,0.055,0.0125,1.1978834936345706
Agency MBS,48,0.055,0.0125,1.5147627632639826
Agency MBS,60,0.055,0.0125,1.799898164906952
Agency MBS,72,0.055,0.0125,2.0583421898796472
Agency MBS,84,0.055,0.0125,2.294328371037456
Agency MBS,120,0.055,0.0125,2.897267428488305
Agency MBS,180,0.055,0.0125,3.6542074260350126
Agency MBS,240,0.055,0.0125,4.206114763219989
Agency MBS,360,0.055,0.0125,4.930118306474689
Agency MBS,18,0.055,0.015,0.6321700703504605
Agency MBS,24,0.055,0.015,0.8186717216818421
Agency MBS,36,0.055,0.015,1.1538037583208214
Agency MBS,48,0.055,0.015,1.4451066038321736
Agency MBS,60,0.055,0.015,1.7023775447363259
Agency MBS,72,0.055,0.015,1.9321158374843905
Agency MBS,84,0.055,0.015,2.139548356511939
Agency MBS,120,0.055,0.015,2.657670164003267
Agency MBS,180,0.055,0.015,3.2868001233117607
Agency MBS,240,0.055,0.015,3.7304324945861187
Agency MBS,360,0.055,0.015,4.294020750840953
Agency MBS,18,0.055,0.0175,0.6203917726839892
Agency MBS,24,0.055,0.0175,0.799270109913317
Agency MBS,36,0.055,0.0175,1.1131032646655143
Agency MBS,48,0.055,0.0175,1.38212495462561
Agency MBS,60,0.055,0.0175,1.615635648903236
Agency MBS,72,0.055,0.0175,1.8218554975056716
Agency MBS,84,0.055,0.0175,2.0053361765444007
Agency MBS,120,0.055,0.0175,2.4564525155657866
Agency MBS,180,0.055,0.0175,2.9879914520611828
Agency MBS,240,0.055,0.0175,3.35335272218532
Agency MBS,360,0.055,0.0175,3.805159595328426
Agency MBS,18,0.055,0.02,0.6085756255093279
Agency MBS,24,0.055,0.02,0.7805261400376248
Agency MBS,36,0.055,0.02,1.0763271361293512
Agency MBS,48,0.055,0.02,1.3243151470986976
Agency MBS,60,0.055,0.02,1.537662754037238
Agency MBS,72,0.055,0.02,1.7243246221816915
Agency MBS,84,0.055,0.02,1.8885466593552354
Agency MBS,120,0.055,0.02,2.284545464993878
Agency MBS,180,0.055,0.02,2.7409627246376025
Agency MBS,240,0.055,0.02,3.047082456088777
Agency MBS,360,0.055,0.02,3.4179684217967776
Agency MBS,18,0.055,0.0225,0.5983763134824439
Agency MBS,24,0.055,0.0225,0.7617675727078262
Agency MBS,36,0.055,0.0225,1.0417421685272676
Agency MBS,48,0.055,0.0225,1.2722636714491762
Agency MBS,60,0.055,0.0225,1.4684834217213207
Agency MBS,72,0.055,0.0225,1.6373421835287496
Agency MBS,84,0.055,0.0225,1.78537933431363
Agency MBS,120,0.055,0.0225,2.1366807425624517
Agency MBS,180,0.055,0.0225,2.5326660140822668
Agency MBS,240,0.055,0.0225,2.7934790897507997
Agency MBS,360,0.055,0.0225,3.104035924106762
Agency MBS,18,0.055,0.025,0.5884489393752025
Agency MBS,24,0.055,0.025,0.7454052930668632
Agency MBS,36,0.055,0.025,1.009269933135065
Agency MBS,48,0.055,0.025,1.224494169805764
Agency MBS,60,0.055,0.025,1.405657041517122
Agency MBS,72,0.055,0.025,1.5590633876840425
Agency MBS,84,0.055,0.025,1.6936065090408021
Agency MBS,120,0.055,0.025,2.0074818127388903
Agency MBS,180,0.055,0.025,2.3551455463290907
Agency MBS,240,0.055,0.025,2.5801789766440417
Agency MBS,360,0.055,0.025,2.843925227590192
Agency MBS,18,0.055,0.0275,0.5787857754052002
Agency MBS,24,0.055,0.0275,0.7295657880018075
Agency MBS,36,0.055,0.0275,0.9799440248956852
Agency MBS,48,0.055,0.0275,1.1804503743690795
Agency MBS,60,0.055,0.0275,1.3473640290961126
Agency MBS,72,0.055,0.0275,1.489552503493764
Agency MBS,84,0.055,0.0275,1.6113445772107247
Agency MBS,120,0.055,0.0275,1.8944746334199456
Agency MBS,180,0.055,0.0275,2.202175558942598
Agency MBS,240,0.055,0.0275,2.3984094135056684
Agency MBS,360,0.055,0.0275,2.625620240879635
Agency MBS,18,0.055,0.03,0.5677721039835347
Agency MBS,24,0.055,0.03,0.7132693700552905
Agency MBS,36,0.055,0.03,0.9517501548601265
Agency MBS,48,0.055,0.03,1.140975474170024
Agency MBS,60,0.055,0.03,1.2951498210987389
Agency MBS,72,0.055,0.03,1.4262900870367272
Agency MBS,84,0.055,0.03,1.5369919984156084
Agency MBS,120,0.055,0.03,1.7940592249280762
Agency MBS,180,0.055,0.03,2.0679684370265883
Agency MBS,240,0.055,0.03,2.241323808894673
Agency MBS,360,0.055,0.03,2.439232249039402
Agency MBS,18,0.055,0.0325,0.5593946948903655
Agency MBS,24,0.055,0.0325,0.6994028855386296
Agency MBS,36,0.055,0.0325,0.9247556275092936
Agency MBS,48,0.055,0.0325,1.103424556450907
Agency MBS,60,0.055,0.0325,1.247127958513184
Agency MBS,72,0.055,0.0325,1.3676646302034046
Agency MBS,84,0.055,0.0325,1.4706561248982641
Agency MBS,120,0.055,0.0325,1.7034620363210708
Agency MBS,180,0.055,0.0325,1.9509279961439525
Agency MBS,240,0.055,0.0325,2.1040465797478016
Agency MBS,360,0.055,0.0325,2.2786134481183677
Agency MBS,18,0.055,0.035,0.5512242551919927
Agency MBS,24,0.055,0.035,0.68595301495017
Agency MBS,36,0.055,0.035,0.9012000744122596
Agency MBS,48,0.055,0.035,1.0683793385796199
Agency MBS,60,0.055,0.035,1.202789458854773
Agency MBS,72,0.055,0.035,1.3149755725601961
Agency MBS,84,0.055,0.035,1.409004398729258
Agency MBS,120,0.055,0.035,1.6236355117702967
Agency MBS,180,0.055,0.035,1.8464133891187122
Agency MBS,240,0.055,0.035,1.9836843383579135
Agency MBS,360,0.055,0.035,2.138444362385199
Agency MBS,18,0.0575,0.005,0.6852758917088098
Agency MBS,24,0.0575,0.005,0.9144948059065783
Agency MBS,36,0.0575,0.005,1.3577610831958173
Agency MBS,48,0.0575,0.005,1.78098215367626
Agency MBS,60,0.0575,0.005,2.1868272667872364
Agency MBS,72,0.0575,0.005,2.576752253554335
Agency MBS,84,0.0575,0.005,2.952338488331112
Agency MBS,120,0.0575,0.005,4.002536120387321
Agency MBS,180,0.0575,0.005,5.536346717461693
Agency MBS,240,0.0575,0.005,6.839102952621311
Agency MBS,360,0.0575,0.005,8.85230352918883
Agency MBS,18,0.0575,0.0075,0.6707969302054084
Agency MBS,24,0.0575,0.0075,0.8887291299914368
Agency MBS,36,0.0575,0.0075,1.2995319962606937
Agency MBS,48,0.0575,0.0075,1.68153656188702
Agency MBS,60,0.0575,0.0075,2.039296918719324
Agency MBS,72,0.0575,0.0075,2.3755201044212257
Agency MBS,84,0.0575,0.0075,2.6923898965777515
Agency MBS,120,0.0575,0.0075,3.547514968158991
Agency MBS,180,0.0575,0.0075,4.719222924896324
Agency MBS,240,0.0575,0.0075,5.649243481184569
Agency MBS,360,0.0575,0.0075,6.976968379015865
Agency MBS,18,0.0575,0.01,0.6570043950361016
Agency MBS,24,0.0575,0.01,0.8637601134672651
Agency MBS,36,0.0575,0.01,1.2467238458392658
Agency MBS,48,0.0575,0.01,1.5940145401534112
Agency MBS,60,0.0575,0.01,1.912120430439429
Agency MBS,72,0.0575,0.01,2.2051428993198914
Agency MBS,84,0.0575,0.01,2.4769489324612146
Agency MBS,120,0.0575,0.01,3.188152719867061
Agency MBS,180,0.0575,0.01,4.115098007770803
Agency MBS,240,0.0575,0.01,4.813715779967496
Agency MBS,360,0.0575,0.01,5.756907932717698
Agency MBS,18,0.0575,0.0125,0.644502498331443
Agency MBS,24,0.0575,0.0125,0.8414086897932053
Agency MBS,36,0.0575,0.0125,1.1985692043467309
Agency MBS,48,0.0575,0.0125,1.5157521647238055
Agency MBS,60,0.0575,0.0125,1.8010786322129597
Agency MBS,72,0.0575,0.0125,2.059621639750388
Agency MBS,84,0.0575,0.0125,2.2956340392092613
Agency MBS,120,0.0575,0.0125,2.897720074706918
Agency MBS,180,0.0575,0.0125,3.650662886666588
Agency MBS,240,0.0575,0.0125,4.195624033954659
Agency MBS,360,0.0575,0.0125,4.9016307260768395
Agency MBS,18,0.0575,0.015,0.6323593195361104
Agency MBS,24,0.0575,0.015,0.8190004850895075
Agency MBS,36,0.0575,0.015,1.1543978298922004
Agency MBS,48,0.0575,0.015,1.4459041478524075
Agency MBS,60,0.0575,0.015,1.7032948819149112
Agency MBS,72,0.0575,0.015,1.933077438480786
Agency MBS,84,0.0575,0.015,2.1403994451877133
Agency MBS,120,0.0575,0.015,2.6575433551963576
Agency MBS,180,0.0575,0.015,3.282533894749799
Agency MBS,240,0.0575,0.015,3.7204551405857944
Agency MBS,360,0.0575,0.015,4.269935059771208
Agency MBS,18,0.0575,0.0175,0.6205640033835653
Agency MBS,24,0.0575,0.0175,0.7995637451429715
Agency MBS,36,0.0575,0.0175,1.1136222738461257
Agency MBS,48,0.0575,0.0175,1.3819683808244552
Agency MBS,60,0.0575,0.0175,1.6163614031520253
Agency MBS,72,0.0575,0.0175,1.8225270100138717
Agency MBS,84,0.0575,0.0175,2.005893952053879
Agency MBS,120,0.0575,0.0175,2.455910882816182
Agency MBS,180,0.0575,0.0175,2.9840253427113894
Agency MBS,240,0.0575,0.0175,3.344091191842923
Agency MBS,360,0.0575,0.0175,3.784509824130842
Agency MBS,18,0.0575,0.02,0.6087407150339222
Agency MBS,24,0.0575,0.02,0.780786298632611
Agency MBS,36,0.0575,0.02,1.0757255283803688
Agency MBS,48,0.0575,0.02,1.3248799914939042
Agency MBS,60,0.0575,0.02,1.5382513481594409
Agency MBS,72,0.0575,0.02,1.7247897858673158
Agency MBS,84,0.0575,0.02,1.88882196767341
Agency MBS,120,0.0575,0.02,2.283823172354976
Agency MBS,180,0.0575,0.02,2.7369585585582197
Agency MBS,240,0.0575,0.02,3.038501784042275
Agency MBS,360,0.0575,0.02,3.400077161720784
Agency MBS,18,0.0575,0.0225,0.5985279260726847
Agency MBS,24,0.0575,0.0225,0.7620120980962618
Agency MBS,36,0.0575,0.0225,1.0421209684303354
Agency MBS,48,0.0575,0.0225,1.2727294623345344
Agency MBS,60,0.0575,0.0225,1.4689122357940168
Agency MBS,72,0.0575,0.0225,1.6376652715886062
Agency MBS,84,0.0575,0.0225,1.7854602764388883
Agency MBS,120,0.0575,0.0225,2.1357727654130882
Agency MBS,180,0.0575,0.0225,2.5289060229775995
Agency MBS,240,0.0575,0.0225,2.7860158953070773
Agency MBS,360,0.0575,0.0225,3.0883537749268446
Agency MBS,18,0.0575,0.025,0.5885875847531102
Agency MBS,24,0.0575,0.025,0.7456227897802571
Agency MBS,36,0.0575,0.025,1.0096089621421003
Agency MBS,48,0.0575,0.025,1.224880674433899
Agency MBS,60,0.0575,0.025,1.4059584406978318
Agency MBS,72,0.0575,0.025,1.5592931702176582
Agency MBS,84,0.0575,0.025,1.693560886419898
